trial,filter,tagp_total_deg,tagp_heading_deg,tagp_inclination_deg,zero_shot_total_deg
01_undisturbed_slow_rotation_A.hdf5,Complementary,2.537681853431444,2.200143194570274,1.26462785319061,
01_undisturbed_slow_rotation_A.hdf5,Mahony,3.326551255957073,3.1940934560504854,0.9296541510441831,
01_undisturbed_slow_rotation_A.hdf5,Madgwick,1.5790405184739782,1.3818091581137928,0.7641990409527866,
01_undisturbed_slow_rotation_A.hdf5,MEKF,1.4904642854552643,1.3774328179855848,0.5693656799866048,
01_undisturbed_slow_rotation_A.hdf5,ARBITER,2.189349556394913,1.956305261489664,0.9829740168252553,
01_undisturbed_slow_rotation_A.hdf5,VQF,2.7966511934258333,2.7318238054697264,0.5987358023219667,
02_undisturbed_slow_rotation_B.hdf5,Complementary,1.7171805766237096,1.1047600459852054,1.3146379458697222,
02_undisturbed_slow_rotation_B.hdf5,Mahony,1.3767710238653315,1.2245406528965603,0.6292978690971104,
02_undisturbed_slow_rotation_B.hdf5,Madgwick,1.7034599683637943,1.5150636526485453,0.7787116821487406,
02_undisturbed_slow_rotation_B.hdf5,MEKF,1.5545898643530396,1.5022167131171205,0.40012959726306396,
02_undisturbed_slow_rotation_B.hdf5,ARBITER,1.8923138975494007,1.792354516591595,0.6069179255930123,
02_undisturbed_slow_rotation_B.hdf5,VQF,1.7839716469390385,1.731670863016348,0.4288170864049475,
03_undisturbed_slow_rotation_C.hdf5,Complementary,4.773782766459091,4.365074717486184,1.9330756548913572,
03_undisturbed_slow_rotation_C.hdf5,Mahony,4.699410022238371,4.618830149186494,0.8667954053879732,
03_undisturbed_slow_rotation_C.hdf5,Madgwick,4.208815048637804,4.114140309541166,0.8878806179187511,
03_undisturbed_slow_rotation_C.hdf5,MEKF,3.7567152777874675,3.7234440252446803,0.4989637753872877,
03_undisturbed_slow_rotation_C.hdf5,ARBITER,4.6516973626561695,4.5007200963461695,1.175807616186566,
03_undisturbed_slow_rotation_C.hdf5,VQF,4.387049512900811,4.366875687223472,0.4203443526625674,
04_undisturbed_slow_rotation_with_breaks_A.hdf5,Complementary,4.739703599617537,4.508244141810019,1.4633271914617672,
04_undisturbed_slow_rotation_with_breaks_A.hdf5,Mahony,5.913255277916495,5.780127384278541,1.2483281326091176,
04_undisturbed_slow_rotation_with_breaks_A.hdf5,Madgwick,4.102109470800402,4.040749794005128,0.7069988803465197,
04_undisturbed_slow_rotation_with_breaks_A.hdf5,MEKF,1.8995221875328188,1.7461636058156578,0.7477573696834414,
04_undisturbed_slow_rotation_with_breaks_A.hdf5,ARBITER,2.9983729523789355,2.683482417604518,1.3379069999534439,
04_undisturbed_slow_rotation_with_breaks_A.hdf5,VQF,3.6920996410284603,3.607194599528758,0.7873998248999933,
05_undisturbed_slow_rotation_with_breaks_B.hdf5,Complementary,1.565302737475614,1.2373867179724494,0.9586859020227694,
05_undisturbed_slow_rotation_with_breaks_B.hdf5,Mahony,1.269295992571726,1.0480271189545596,0.7160755286888522,
